1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
74,145,218,290,349,403,506,558,599,717,762,727,743,756,752,765,718,666,787,765
74,144,216,289,350,443,506,556,595,708,755,740,743,732,756,759,702,634,788,748
74,145,218,291,356,459,514,602,606,739,807,765,741,745,788,770,702,608,787,752
73,145,224,288,363,442,514,599,609,720,809,784,744,749,766,775,689,658,803,754
74,145,220,224,354,444,514,571,617,743,811,783,754,752,759,775,715,803,786,781
73,153,225,226,350,445,504,563,620,764,808,781,740,756,762,766,804,796,789,785
74,153,225,249,349,464,501,563,642,763,796,780,755,765,765,771,803,790,789,788
76,151,225,229,360,472,529,580,640,768,807,783,740,755,786,769,785,795,750,783
74,143,226,251,360,472,542,598,609,760,779,758,755,743,792,789,789,787,586,788
73,152,224,229,361,469,546,573,607,729,732,751,771,746,773,787,785,780,572,770
