1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,100,93,144,145,174,182,208,240,241,319,264,399,308,300,335,535,378,400,408
33,104,93,140,188,162,189,200,250,251,346,276,394,406,315,305,519,343,379,459
34,138,93,160,189,162,196,206,241,248,347,276,377,420,300,320,418,346,413,436
36,137,90,164,202,162,184,210,269,234,308,276,399,448,330,320,486,355,369,443
48,127,96,172,175,168,199,218,240,256,352,276,376,448,318,336,464,360,380,376
47,63,93,148,185,168,184,222,240,252,330,265,381,428,312,320,506,353,383,480
54,62,93,160,192,162,175,219,230,265,282,275,391,418,319,320,472,403,401,459
52,62,100,136,138,168,175,221,230,246,268,261,371,448,311,336,474,348,372,426
55,35,101,143,140,169,201,216,230,248,253,255,397,431,307,320,344,369,368,401
54,32,93,144,149,173,185,224,230,253,252,276,397,430,312,320,327,346,304,400
