1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,50,31,36,29,29,26,26,24,25,29,22,31,22,20,21,31,21,21,19
33,51,31,36,38,27,27,26,25,25,32,23,31,29,21,19,30,19,20,22
34,50,31,39,38,27,28,25,25,24,31,23,29,30,20,20,24,19,20,21
36,50,30,41,40,27,27,27,26,24,28,23,31,32,22,20,27,20,20,21
50,48,32,43,35,29,28,27,24,26,32,23,29,33,22,21,27,20,19,18
47,32,31,37,37,28,26,27,24,25,30,22,29,30,20,20,29,19,20,22
54,31,31,40,39,27,26,28,24,27,26,23,31,30,22,20,27,22,21,22
52,30,34,34,27,28,25,28,22,24,24,22,28,32,20,21,27,20,18,20
54,32,33,36,29,28,28,27,23,25,23,21,31,31,21,20,20,20,18,18
55,32,31,36,29,29,27,28,23,25,23,23,31,31,21,20,19,19,15,19
